Complaint_ID,Category,Location,Complaint,Priority,Status,Users_Affected,Date
C0001,Water,Hostel B,No water supply since morning,High,Open,77,05-02-2026
C0002,Electricity,Block B,Generator failure,Medium,Open,27,24-01-2026
C0003,Transportation,Main Gate,Bus breakdown reported,Medium,Open,163,20-02-2026
C0004,Water,Cafeteria,Broken water purifier,Medium,In Progress,227,02-01-2026
C0005,Electricity,Admin Block,Electrical sparks observed,Medium,Open,75,28-03-2026
C0006,Transportation,Route 2,Bus overcrowded,Medium,In Progress,236,30-03-2026
C0007,Water,Mess Block,No water supply since morning,High,Resolved,51,07-04-2026
C0008,Electricity,Block B,Emergency lights malfunctioning,High,Resolved,246,03-04-2026
C0009,Transportation,Main Gate,Bus overcrowded,Low,Open,217,16-03-2026
C0010,Water,Hostel B,Broken water purifier,High,In Progress,91,27-04-2026
C0011,Electricity,Library,Power fluctuation affecting equipment,Medium,Open,191,10-03-2026
C0012,Transportation,Route 2,Insufficient buses available,Medium,Open,61,29-04-2026
C0013,Water,Cafeteria,Water contamination reported,High,Resolved,196,23-05-2026
C0014,Electricity,Computer Lab,AC left running after hours,High,Open,78,09-01-2026
C0015,Transportation,Main Entrance,Traffic congestion at entrance,Medium,Open,165,22-03-2026
C0016,Water,Girls Hostel,Pipeline damage observed,Medium,Resolved,137,06-02-2026
C0017,Electricity,Exam Hall,Power fluctuation affecting equipment,Medium,Resolved,157,09-03-2026
C0018,Transportation,Transport Office,Traffic congestion at entrance,Medium,Open,150,07-05-2026
C0019,Water,Hostel B,No water supply since morning,High,Open,180,10-02-2026
C0020,Electricity,Control Room,Generator failure,Medium,Resolved,139,16-05-2026
C0021,Transportation,Hostel Stop,Bus delayed,High,Open,194,18-05-2026
C0022,Water,Mess Block,Tank overflow,Low,In Progress,60,27-04-2026
C0023,Electricity,Block A,Emergency lights malfunctioning,High,Open,149,28-01-2026
C0024,Transportation,Hostel Stop,Bus breakdown reported,Low,Open,158,16-05-2026
C0025,Water,Hostel A,Tank overflow,Medium,Open,112,20-03-2026
C0026,Electricity,Computer Lab,Frequent power cuts,Medium,Resolved,40,22-01-2026
C0027,Transportation,Route 5,Bus overcrowded,High,Resolved,216,02-02-2026
C0028,Water,Hostel C,Pipeline damage observed,High,Open,87,16-05-2026
C0029,Electricity,Control Room,Street lights not working,High,Resolved,196,21-02-2026
C0030,Transportation,Hostel Stop,Traffic congestion at entrance,High,Resolved,115,23-04-2026
C0031,Water,Block D,Water leakage detected,Medium,Open,106,06-01-2026
C0032,Electricity,Computer Lab,Street lights not working,Low,Resolved,181,16-01-2026
C0033,Transportation,Main Gate,Bus overcrowded,High,In Progress,38,12-05-2026
C0034,Water,Girls Hostel,Water contamination reported,High,Open,158,03-02-2026
C0035,Electricity,Hostel Corridor,Street lights not working,High,In Progress,68,25-01-2026
C0036,Transportation,Route 2,Traffic congestion at entrance,Medium,In Progress,139,14-01-2026
C0037,Water,Hostel B,No water supply since morning,Medium,In Progress,224,28-01-2026
C0038,Electricity,Computer Lab,Street lights not working,Low,In Progress,55,19-04-2026
C0039,Transportation,Route 3,Driver shortage causing delays,Medium,Open,133,21-05-2026
C0040,Water,Hostel B,No water supply since morning,High,Resolved,234,04-01-2026
C0041,Electricity,Block B,Street lights not working,Low,In Progress,143,24-02-2026
C0042,Transportation,Transport Office,Bus delayed,Low,Open,119,09-03-2026
C0043,Water,Block D,Water contamination reported,Medium,Resolved,220,23-05-2026
C0044,Electricity,Hostel Corridor,Power fluctuation affecting equipment,Low,Open,34,29-05-2026
C0045,Transportation,Route 1,Route coverage issue,Low,Resolved,142,09-05-2026
C0046,Water,Hostel C,No water supply since morning,High,Open,237,17-02-2026
C0047,Electricity,Block B,Generator failure,High,Open,123,31-01-2026
C0048,Transportation,Main Gate,Bus delayed,High,In Progress,188,30-05-2026
C0049,Water,Library,Water contamination reported,Medium,Resolved,100,03-03-2026
C0050,Electricity,Exam Hall,Electrical sparks observed,Low,Resolved,96,28-04-2026
C0051,Transportation,Main Entrance,Bus overcrowded,Low,Resolved,164,26-01-2026
C0052,Water,Hostel B,Broken water purifier,Medium,Open,109,18-01-2026
C0053,Electricity,Computer Lab,AC left running after hours,Medium,In Progress,233,20-05-2026
C0054,Transportation,Hostel Stop,Bus delayed,High,Resolved,96,19-06-2026
C0055,Water,Hostel B,Low water pressure,Medium,Open,210,22-05-2026
C0056,Electricity,Admin Block,Emergency lights malfunctioning,Medium,Open,203,29-03-2026
C0057,Transportation,Main Gate,Driver shortage causing delays,Medium,In Progress,236,14-01-2026
C0058,Water,Hostel B,Water wastage due to broken tap,High,Open,20,27-03-2026
C0059,Electricity,Admin Block,Emergency lights malfunctioning,Low,In Progress,161,30-06-2026
C0060,Transportation,Transport Office,Bus delayed,Low,Resolved,58,20-05-2026
C0061,Water,Hostel A,Tank overflow,Medium,Open,130,02-02-2026
